"GEO_ID","NAME","B16005_001E","B16005_001M","B16005_002E","B16005_002M","B16005_003E","B16005_003M","B16005_004E","B16005_004M","B16005_005E","B16005_005M","B16005_006E","B16005_006M","B16005_007E","B16005_007M","B16005_008E","B16005_008M","B16005_009E","B16005_009M","B16005_010E","B16005_010M","B16005_011E","B16005_011M","B16005_012E","B16005_012M","B16005_013E","B16005_013M","B16005_014E","B16005_014M","B16005_015E","B16005_015M","B16005_016E","B16005_016M","B16005_017E","B16005_017M","B16005_018E","B16005_018M","B16005_019E","B16005_019M","B16005_020E","B16005_020M","B16005_021E","B16005_021M","B16005_022E","B16005_022M","B16005_023E","B16005_023M","B16005_024E","B16005_024M","B16005_025E","B16005_025M","B16005_026E","B16005_026M","B16005_027E","B16005_027M","B16005_028E","B16005_028M","B16005_029E","B16005_029M","B16005_030E","B16005_030M","B16005_031E","B16005_031M","B16005_032E","B16005_032M","B16005_033E","B16005_033M","B16005_034E","B16005_034M","B16005_035E","B16005_035M","B16005_036E","B16005_036M","B16005_037E","B16005_037M","B16005_038E","B16005_038M","B16005_039E","B16005_039M","B16005_040E","B16005_040M","B16005_041E","B16005_041M","B16005_042E","B16005_042M","B16005_043E","B16005_043M","B16005_044E","B16005_044M","B16005_045E","B16005_045M"
"1400000US16027020602","Census Tract 206.02, Canyon County, Idaho","6440","526","5762","470","5124","519","587","296","503","293","16","25","68","87","0","16","19","30","19","30","0","16","0","16","0","16","32","40","32","40","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","678","259","70","63","594","259","182","121","80","89","305","221","27","32","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","14","23","0","16","0","16","14","23","0","16"
"1400000US16027020700","Census Tract 207, Canyon County, Idaho","3149","373","2963","337","2909","341","34","35","22","29","12","19","0","11","0","11","20","34","20","34","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","186","213","0","11","152","206","77","104","13","22","62","99","0","11","25","46","25","46","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","15","9","15","0","11","0","11","0","11"
"1400000US16027020901","Census Tract 209.01, Canyon County, Idaho","12622","927","11746","847","10942","887","715","364","465","297","208","185","42","50","0","18","58","73","16","26","42","68","0","18","0","18","31","42","31","42","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","876","404","166","148","663","389","270","195","92","113","301","233","0","18","0","18","0","18","0","18","0","18","0","18","19","34","19","34","0","18","0","18","0","18","28","49","17","30","0","18","0","18","11","20"
"1400000US16027020902","Census Tract 209.02, Canyon County, Idaho","13242","1025","11813","922","11003","880","635","310","581","307","54","48","0","18","0","18","153","161","153","161","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","22","36","22","36","0","18","0","18","0","18","1429","467","294","190","872","351","276","201","186","143","343","192","67","52","263","189","201","170","32","46","30","44","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18"
"1400000US16027021001","Census Tract 210.01, Canyon County, Idaho","11269","757","10343","731","8707","640","1566","468","1457","464","109","91","0","18","0","18","9","14","9","14","0","18","0","18","0","18","61","101","61","101","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","926","321","178","102","720","305","389","234","113","79","192","129","26","39","0","18","0","18","0","18","0","18","0","18","28","34","11","19","17","28","0","18","0","18","0","18","0","18","0","18","0","18","0","18"
"1400000US16027021002","Census Tract 210.02, Canyon County, Idaho","7883","756","7049","634","6496","592","513","276","493","277","20","26","0","16","0","16","40","38","40","38","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","834","341","166","111","613","332","192","147","146","100","196","172","79","77","55","64","21","33","34","58","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16"
"1400000US16027021100","Census Tract 211, Canyon County, Idaho","13395","1037","12526","1037","11414","1026","969","362","914","357","19","30","36","58","0","18","79","69","79","69","0","18","0","18","0","18","58","55","58","55","0","18","0","18","0","18","6","13","6","13","0","18","0","18","0","18","869","332","85","63","641","326","125","92","165","119","266","163","85","82","60","96","0","18","60","96","0","18","0","18","83","72","60","54","0","18","23","41","0","18","0","18","0","18","0","18","0","18","0","18"
"1400000US16027021200","Census Tract 212, Canyon County, Idaho","6267","665","5249","661","4412","579","801","271","603","280","177","227","21","32","0","16","25","36","25","36","0","16","0","16","0","16","11","22","11","22","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1018","308","17","28","907","315","412","208","249","99","120","104","126","117","0","16","0","16","0","16","0","16","0","16","94","90","94","90","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16"
"1400000US16027021300","Census Tract 213, Canyon County, Idaho","3055","472","2051","340","1285","233","741","256","706","248","17","17","11","19","7","12","13","12","13","12","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","12","16","9","15","3","6","0","11","0","11","1004","294","39","28","965","300","281","189","75","60","430","173","179","96","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US16027021500","Census Tract 215, Canyon County, Idaho","4660","450","4370","497","3907","496","460","199","399","189","35","40","9","13","17","26","3","6","0","16","0","16","3","6","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","290","144","34","22","152","123","94","78","46","47","12","19","0","16","28","25","14","16","14","12","0","16","0","16","62","50","5","11","4","7","36","29","17","27","14","22","0","16","14","22","0","16","0","16"
