"S2504_C02_013E","Owner-occupied housing units!!Estimate!!YEAR STRUCTURE BUILT!!1940 to 1959",
"S2504_C02_013M","Owner-occupied housing units!!Margin of Error!!YEAR STRUCTURE BUILT!!1940 to 1959",
"S2504_C02_014E","Owner-occupied housing units!!Estimate!!YEAR STRUCTURE BUILT!!1939 or earlier",
"S2504_C02_014M","Owner-occupied housing units!!Margin of Error!!YEAR STRUCTURE BUILT!!1939 or earlier",
"S2504_C02_015E","Owner-occupied housing units!!Estimate!!ROOMS!!1 room",
"S2504_C02_015M","Owner-occupied housing units!!Margin of Error!!ROOMS!!1 room",
"S2504_C02_016E","Owner-occupied housing units!!Estimate!!ROOMS!!2 or 3 rooms",
"S2504_C02_016M","Owner-occupied housing units!!Margin of Error!!ROOMS!!2 or 3 rooms",
"S2504_C02_017E","Owner-occupied housing units!!Estimate!!ROOMS!!4 or 5 rooms",
"S2504_C02_017M","Owner-occupied housing units!!Margin of Error!!ROOMS!!4 or 5 rooms",
"S2504_C02_018E","Owner-occupied housing units!!Estimate!!ROOMS!!6 or 7 rooms",
"S2504_C02_018M","Owner-occupied housing units!!Margin of Error!!ROOMS!!6 or 7 rooms",
"S2504_C02_019E","Owner-occupied housing units!!Estimate!!ROOMS!!8 or more rooms",
"S2504_C02_019M","Owner-occupied housing units!!Margin of Error!!ROOMS!!8 or more rooms",
"S2504_C02_020E","Owner-occupied housing units!!Estimate!!BEDROOMS!!No bedroom",
"S2504_C02_020M","Owner-occupied housing units!!Margin of Error!!BEDROOMS!!No bedroom",
"S2504_C02_021E","Owner-occupied housing units!!Estimate!!BEDROOMS!!1 bedroom",
"S2504_C02_021M","Owner-occupied housing units!!Margin of Error!!BEDROOMS!!1 bedroom",
"S2504_C02_022E","Owner-occupied housing units!!Estimate!!BEDROOMS!!2 or 3 bedrooms",
"S2504_C02_022M","Owner-occupied housing units!!Margin of Error!!BEDROOMS!!2 or 3 bedrooms",
"S2504_C02_023E","Owner-occupied housing units!!Estimate!!BEDROOMS!!4 or more bedrooms",
"S2504_C02_023M","Owner-occupied housing units!!Margin of Error!!BEDROOMS!!4 or more bedrooms",
"S2504_C02_024E","Owner-occupied housing units!!Estimate!!COMPLETE FACILITIES!!With complete plumbing facilities",
"S2504_C02_024M","Owner-occupied housing units!!Margin of Error!!COMPLETE FACILITIES!!With complete plumbing facilities",
"S2504_C02_025E","Owner-occupied housing units!!Estimate!!COMPLETE FACILITIES!!With complete kitchen facilities",
"S2504_C02_025M","Owner-occupied housing units!!Margin of Error!!COMPLETE FACILITIES!!With complete kitchen facilities",
"S2504_C02_026E","Owner-occupied housing units!!Estimate!!VEHICLES AVAILABLE!!No vehicle available",
"S2504_C02_026M","Owner-occupied housing units!!Margin of Error!!VEHICLES AVAILABLE!!No vehicle available",
"S2504_C02_027E","Owner-occupied housing units!!Estimate!!VEHICLES AVAILABLE!!1 vehicle available",
"S2504_C02_027M","Owner-occupied housing units!!Margin of Error!!VEHICLES AVAILABLE!!1 vehicle available",
"S2504_C02_028E","Owner-occupied housing units!!Estimate!!VEHICLES AVAILABLE!!2 vehicles available",
"S2504_C02_028M","Owner-occupied housing units!!Margin of Error!!VEHICLES AVAILABLE!!2 vehicles available",
"S2504_C02_029E","Owner-occupied housing units!!Estimate!!VEHICLES AVAILABLE!!3 or more vehicles available",
"S2504_C02_029M","Owner-occupied housing units!!Margin of Error!!VEHICLES AVAILABLE!!3 or more vehicles available",
"S2504_C02_030E","Owner-occupied housing units!!Estimate!!TELEPHONE SERVICE AVAILABLE!!With telephone service",
"S2504_C02_030M","Owner-occupied housing units!!Margin of Error!!TELEPHONE SERVICE AVAILABLE!!With telephone service",
"S2504_C02_031E","Owner-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!Utility gas",
"S2504_C02_031M","Owner-occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!Utility gas",
"S2504_C02_032E","Owner-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!Bottled, tank, or LP gas",
"S2504_C02_032M","Owner-occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!Bottled, tank, or LP gas",
"S2504_C02_033E","Owner-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!Electricity",
"S2504_C02_033M","Owner-occupied housing units!!Margin of Error!!HOUSE HEATING FUEL!!Electricity",
"S2504_C02_034E","Owner-occupied housing units!!Estimate!!HOUSE HEATING FUEL!!Fuel oil, kerosene, etc.",
