PIN,Line#,Ngrhd,TypeDescr,MethodDescr,Acres,SqrFt,ActFrnt,EffFrnt,EffDpth,Cat,Value,ValMethod,SoilID,SiteRating,LandUnit,System,lrsn
N5480038000G,1,50050,City  Lot,49  User Definable Land F,0.1928,8400,60,60,140,20H,18600,Cost,,F,AC,PV,2340
P14710070100,1,10020,City  Lot,29  Per Square Foot (brea,0.09,3786,63.08,63,60.02,20H,10600,Cost,,,AC,PV,702809
P1940015000A,1,10030,City  Lot,29  Per Square Foot (brea,0.5303,23100,82.5,82,280,20H,36713,Cost,,EX,AC,PV,4366
P00000341220,1,10010,City  Lot,32  Site Value (lump sum,0.6538,28479,111.4,0,250,20H,25110,Cost,,VP,AC,PV,1024
P13780000030,1,10040,City  Lot,29  Per Square Foot (brea,0.216,9411,60,156,156,20H,20344,Cost,,EX,AC,PV,5403
P1520026000N,1,10040,City  Lot,29  Per Square Foot (brea,2.34,101930,0,0,0,20,26007,Cost,,,AC,PV,5388
N5480021004F,1,50050,City  Lot,49  User Definable Land F,0.1,4500,45,45,100,20H,12400,Cost,,P,AC,PV,20031
P1560001002A,1,10010,City  Lot,32  Site Value (lump sum,0.1705,7425,50,50,148,20H,26910,Cost,,P,AC,PV,3487
P10600030120,1,10040,City  Lot,29  Per Square Foot (brea,0.1607,7000,50,50,140,20H,17310,Cost,,F,AC,PV,2444
P1230002004D,1,10040,City  Lot,29  Per Square Foot (brea,0.1923,8375,62,62,134,20H,9654,Cost,,P,AC,PV,20601
P00000264482,1,10031,City  Lot,29  Per Square Foot (brea,1.01,43995.6,0,0,0,20,36626,Cost,,,AC,PV,703659
P14900320200,1,10010,City  Lot,32  Site Value (lump sum,0.0999,4350,30,30,145,20H,12555,Cost,,VP,AC,PV,3345
P17800010140,1,10049,City  Lot,29  Per Square Foot (brea,0.44,19000,100,100,190,20H,24390,Cost,,EX,AC,PV,701750
F328000B008C,1,30090,City  Lot,32  Site Value (lump sum,0.141,6142,64.5,64,95,20H,22600,Cost,,F,AC,PV,20207
N5480010014B,1,50050,City  Lot,49  User Definable Land F,0.2443,10640,95,95,112,20H,21700,Cost,,AV,AC,PV,1966
F3540003000B,1,30092,City  Lot,32  Site Value (lump sum,0.44,19166,0,0,0,20H,10800,Cost,,VP,AC,PV,114
P1710050000A,1,10030,City  Lot,29  Per Square Foot (brea,0.1139,4960,40,40,124,20H,3793,Cost,,P,AC,PV,3890
F00000156025,1,30090,City  Lot,32  Site Value (lump sum,0.89,38560,0,0,0,20H,33000,Cost,,EX,AC,PV,4890
P1940028000F,2,10040,Residential Excess Acreag,49  User Definable Land F,0.18,7840,0,0,0,20,8241,Cost,,,AC,PV,14636
